word	attestation_count	sources
AA	2	Unitex DELA français ; Lexique 3.83
ABANDONNISME	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABANDONNISMES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABCEDATION	2	Lefff 3.4 ; Unitex DELA français
ABCEDATIONS	2	Lefff 3.4 ; Unitex DELA français
ABDOS	4	Lefff 3.4 ; Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
ABEAUSIR	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABELISA	2	Lefff 3.4 ; Unitex DELA français
ABELISAI	2	Lefff 3.4 ; Unitex DELA français
ABELISAIENT	2	Lefff 3.4 ; Unitex DELA français
ABELISAIS	2	Lefff 3.4 ; Unitex DELA français
ABELISAIT	2	Lefff 3.4 ; Unitex DELA français
ABELISAMES	2	Lefff 3.4 ; Unitex DELA français
ABELISANT	2	Lefff 3.4 ; Unitex DELA français
ABELISAS	2	Lefff 3.4 ; Unitex DELA français
ABELISASSE	2	Lefff 3.4 ; Unitex DELA français
ABELISASSENT	2	Lefff 3.4 ; Unitex DELA français
ABELISASSES	2	Lefff 3.4 ; Unitex DELA français
ABELISASSIEZ	2	Lefff 3.4 ; Unitex DELA français
ABELISASSIONS	2	Lefff 3.4 ; Unitex DELA français
ABELISAT	2	Lefff 3.4 ; Unitex DELA français
ABELISATES	2	Lefff 3.4 ; Unitex DELA français
ABELISE	2	Lefff 3.4 ; Unitex DELA français
ABELISEE	2	Lefff 3.4 ; Unitex DELA français
ABELISEES	2	Lefff 3.4 ; Unitex DELA français
ABELISENT	2	Lefff 3.4 ; Unitex DELA français
ABELISER	2	Lefff 3.4 ; Unitex DELA français
ABELISERA	2	Lefff 3.4 ; Unitex DELA français
ABELISERAI	2	Lefff 3.4 ; Unitex DELA français
ABELISERAIENT	2	Lefff 3.4 ; Unitex DELA français
ABELISERAIS	2	Lefff 3.4 ; Unitex DELA français
ABELISERAIT	2	Lefff 3.4 ; Unitex DELA français
ABELISERAS	2	Lefff 3.4 ; Unitex DELA français
ABELISERENT	2	Lefff 3.4 ; Unitex DELA français
ABELISEREZ	2	Lefff 3.4 ; Unitex DELA français
ABELISERIEZ	2	Lefff 3.4 ; Unitex DELA français
ABELISERIONS	2	Lefff 3.4 ; Unitex DELA français
ABELISERONS	2	Lefff 3.4 ; Unitex DELA français
ABELISERONT	2	Lefff 3.4 ; Unitex DELA français
ABELISES	2	Lefff 3.4 ; Unitex DELA français
ABELISEZ	2	Lefff 3.4 ; Unitex DELA français
ABELISIEZ	2	Lefff 3.4 ; Unitex DELA français
ABELISIONS	2	Lefff 3.4 ; Unitex DELA français
ABELISONS	2	Lefff 3.4 ; Unitex DELA français
ABLATA	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABLATANT	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABLATAS	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABLATE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABLATER	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABLOQUER	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABOUNAS	2	Unitex DELA français ; Lexique 3.83
ABOYANTE	2	Grammalecte, dictionnaire français classique 7.5 ; Lexique 3.83
ABRASEMENT	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABRASEMENTS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABRASIVITE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABRASIVITES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABRUTISSEUSE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABRUTISSEUSES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABSCISSIQUE	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABSCISSIQUES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABSOLUMES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABSOLURENT	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTES	2	Unitex DELA français ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISA	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISAI	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISAIENT	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISAIS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISAIT	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISAMES	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISANT	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISAS	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
ABSOLUTISASSE	2	Lefff 3.4 ; Grammalecte, dictionnaire français classique 7.5
